Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0052221,3.4011E-05,0.073607,0,0,0,13.548,0.10829,4.64E-05,0.0051385,0.15647,-4.0329E-05,0.21473,0,0,0,0,0,0,package://wam16/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wam16/meshes/base.STL,,B2123-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,2.5396E-08,-0.050252,3.0114E-09,0,0,0,17.373,0.27616,5.2019E-08,7.5918E-08,0.23797,3.7525E-09,0.14569,0,0,0,0,0,0,package://wam16/meshes/l1.STL,0.79608,0.79608,0.75294,1,0,0,0,0,0,0,package://wam16/meshes/l1.STL,,B2124-2,Origin_j1,Axis_j1,j1,continuous,0.053536,0,0.31513,1.5708,0,-1.9984,base,0,1,0,,,,,,,,,,,,
l2,7.6483E-07,0.05047,2.3994E-06,0,0,0,0.61732,0.0025855,-1.429E-08,-4.2584E-08,0.0018631,3.2223E-08,0.0022763,0,0,0,0,0,0,package://wam16/meshes/l2.STL,0.79608,0.79608,0.75294,1,0,0,0,0,0,0,package://wam16/meshes/l2.STL,,B2125-1,Origin_j2,Axis_j2,j2,continuous,0,0.030866,0,0.19573,1.5708,0,l1,1,0,0,,,,,,,,,,,,
l3,9.0662E-06,0.44771,-0.013087,0,0,0,1.3887,0.030079,-1.136E-06,2.6852E-07,0.0029273,0.0017696,0.030427,0,0,0,0,0,0,package://wam16/meshes/l3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/l3.STL,,B2126-1,Origin_j3,Axis_j3,j3,continuous,0,0,0,3.1416,-0.50269,3.1416,l2,0,1,0,,,,,,,,,,,,
l4,-0.00049544,0.033113,0.039955,0,0,0,0.68003,0.0013675,-7.5157E-08,-1.6836E-07,0.00098982,-0.00034964,0.00099042,0,0,0,0,0,0,package://wam16/meshes/l4.STL,0.66667,0.63922,0.55686,1,0,0,0,0,0,0,package://wam16/meshes/l4.STL,,B2127-3,Origin_j4,Axis_j4,j4,continuous,0,0.549,-0.045,-0.99221,0,0,l3,1,0,0,,,,,,,,,,,,
l5,-0.00015626,0.098469,1.1003E-12,0,0,0,3.4927,0.013119,1.4791E-05,1.204E-11,0.0036628,1.3583E-13,0.01341,0,0,0,0,0,0,package://wam16/meshes/l5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/l5.STL,,B2571-2,Origin_j5,,j5,fixed,-0.000504,0.045,0.073,1.5708,0,-0.075888,l4,0,0,0,,,,,,,,,,,,
l6,-6.5399E-10,0.066029,-1.8112E-08,0,0,0,0.14901,8.6825E-05,9.6737E-12,8.9074E-11,8.7084E-05,7.4187E-11,6.7112E-05,0,0,0,0,0,0,package://wam16/meshes/l6.STL,0.47843,0.4549,0.3451,1,0,0,0,0,0,0,package://wam16/meshes/l6.STL,,B3308-1,Origin_j6,Axis_j6,j6,continuous,0,0.15853,0,-3.1416,-1.4381,3.1416,l5,0,1,0,,,,,,,,,,,,
l7,-0.001685,0.024237,1.4442E-07,0,0,0,0.5067,0.00036938,1.5037E-05,1.107E-10,0.00061905,-5.4367E-10,0.00074714,0,0,0,0,0,0,package://wam16/meshes/l7.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/l7.STL,,B2573-1,Origin_h7,Axis_h7,h7,continuous,0,0.074477,0,0.15275,0,0,l6,1,0,0,,,,,,,,,,,,
l8,7.7716E-16,0.071443,-4.4409E-16,0,0,0,0.099101,6.4694E-05,1.7491E-19,0,0.00012773,6.4375E-20,6.4694E-05,0,0,0,0,0,0,package://wam16/meshes/l8.STL,0.83137,0.84706,0.85882,1,0,0,0,0,0,0,package://wam16/meshes/l8.STL,,B2574-1,Origin_j8,Axis_j8,j8,continuous,0.00603,-0.014156,0,0,-0.17166,0,l7,0,1,0,,,,,,,,,,,,
hl,-2.5543E-05,0.0036866,-0.097192,0,0,0,0.27566,0.00027566,2.8197E-07,-1.2725E-07,0.00021041,2.1268E-05,0.0002751,0,0,0,0,0,0,package://wam16/meshes/hl.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl.STL,,B4850-1,Origin_hj,Axis_hj,hj,continuous,0,0,0,1.5708,-0.96236,0,l8,0,0,1,,,,,,,,,,,,
hl11,-0.00074339,0.00064242,-0.030974,0,0,0,31321,17.766,-0.00054159,0.013566,17.404,0.19164,2.1407,0,0,0,0,0,0,package://wam16/meshes/hl11.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl11.STL,,B4159-1,Origin_hj11,Axis_hj11,hj11,continuous,0,0.05,-0.12751,-0.5438,0,-3.1416,hl,1,0,0,,,,,,,,,,,,
hl12,0.0024529,-0.0016711,0.025332,0,0,0,19342,5.994,-0.0029975,0.047647,6.4556,0.2445,1.3063,0,0,0,0,0,0,package://wam16/meshes/hl12.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl12.STL,,B4160-1,Origin_hj12,Axis_hj12,hj12,continuous,0,0,-0.07,2.846,0,3.1416,hl11,1,0,0,,,,,,,,,,,,
hl21,9.984E-05,0.063527,-0.028865,0,0,0,56143,33.955,-0.078003,0.11786,29.367,5.3161,10.448,0,0,0,0,0,0,package://wam16/meshes/hl21.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl21.STL,,B4158-1,Origin_hj21,Axis_hj21,hj21,continuous,0.025,0,-0.047204,-1.5708,0,1.1509,hl,0,1,0,,,,,,,,,,,,
hl22,-0.0012934,0.00064243,-0.030974,0,0,0,31321,17.766,-0.00054101,0.013568,17.404,0.19164,2.1407,0,0,0,0,0,0,package://wam16/meshes/hl22.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl22.STL,,B4159-2,Origin_hj22,Axis_hj22,hj22,continuous,0,0.080302,-0.05,0.49663,0,0,hl21,1,0,0,,,,,,,,,,,,
hl23,0.0030029,-0.0016711,0.025332,0,0,0,19342,5.994,-0.0029975,0.047646,6.4556,0.2445,1.3063,0,0,0,0,0,0,package://wam16/meshes/hl23.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl23.STL,,B4160-2,Origin_hj23,Axis_hj23,hj23,continuous,0,0,-0.07,3.0676,0,3.1416,hl22,1,0,0,,,,,,,,,,,,
hl31,9.9837E-05,0.047496,-0.028865,0,0,0,56143,33.955,-0.078005,0.11786,29.367,5.3161,10.448,0,0,0,0,0,0,package://wam16/meshes/hl31.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl31.STL,,B4158-2,Origin_hj31,Axis_hj31,hj31,continuous,-0.025,0,-0.063234,-1.5708,0,-1.2991,hl,0,1,0,,,,,,,,,,,,
hl32,-0.0012934,0.00064242,-0.030974,0,0,0,31321,17.766,-0.00054648,0.013576,17.404,0.19164,2.1407,0,0,0,0,0,0,package://wam16/meshes/hl32.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl32.STL,,B4159-3,Origin_hj32,Axis_hj32,hj32,continuous,0,0.064271,-0.05,0.0052796,0,0,hl31,1,0,0,,,,,,,,,,,,
hl33,0.0030029,-0.0016711,0.025332,0,0,0,19342,5.994,-0.0029976,0.047647,6.4556,0.2445,1.3063,0,0,0,0,0,0,package://wam16/meshes/hl33.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wam16/meshes/hl33.STL,,B4160-3,Origin_hj33,Axis_hj33,hj33,continuous,0,0,-0.07,-3.0446,0,-3.1416,hl32,1,0,0,,,,,,,,,,,,
